School Name,School State,School Ownership,Mean Earnings (6 Yrs after Entry),Std. Deviation Earning (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Std. Deviation Earning (10 Yrs after Entry),150% Completion Rate at 4Yr (%),Retention Rate 4Yr (%)
Grand Canyon University,AZ,Private ForProfit,36000.0,30900.0,58500.0,40900.0,42.77,65.75
Henderson State University,AR,Public,29300.0,19500.0,40400.0,30100.0,33.629999999999995,60.11
California Baptist University,CA,Private NonProfit,40000.0,28800.0,47500.0,43900.0,59.78,76.02
Art Center College of Design,CA,Private NonProfit,48800.0,39800.0,62300.0,50700.0,73.08,81.39999999999998
California Institute of the Arts,CA,Private NonProfit,34200.0,30900.0,50600.0,54900.0,66.23,89.12
San Diego Christian College,CA,Private NonProfit,31000.0,24000.0,42500.0,34300.0,52.11,67.78
California State University-Dominguez Hills,CA,Public,38300.0,29500.0,48500.0,30200.0,42.36,81.83
California State University-East Bay,CA,Public,45200.0,32200.0,58200.0,47900.0,48.24,76.69
Cogswell College,CA,Private ForProfit,37600.0,33900.0,60400.0,52500.0,21.88,77.14
Life Pacific College,CA,Private NonProfit,32800.0,23200.0,34400.0,23000.0,50.0,72.22
Marymount California University,CA,Private NonProfit,34300.0,34300.0,42000.0,32900.0,34.300000000000004,62.11
Hope International University,CA,Private NonProfit,36600.0,42000.0,40700.0,29900.0,42.86,66.67
Pitzer College,CA,Private NonProfit,37300.0,30300.0,51500.0,39300.0,87.59,93.63
Santa Clara University,CA,Private NonProfit,63900.0,41700.0,85300.0,62200.0,88.64999999999998,95.95
Vanguard University of Southern California,CA,Private NonProfit,40700.0,29300.0,48800.0,41100.0,55.69,75.47
University of Redlands,CA,Private NonProfit,48700.0,34500.0,57700.0,37900.0,74.15,81.71000000000002
San Francisco State University,CA,Public,42100.0,29100.0,54700.0,37900.0,53.2,80.0
Woodbury University,CA,Private NonProfit,37300.0,26400.0,52100.0,39500.0,44.12,77.78
Colorado Technical University-Colorado Springs,CO,Private ForProfit,34100.0,31000.0,51300.0,43200.0,19.85,46.86
Nazarene Bible College,CO,Private NonProfit,32100.0,23100.0,34400.0,24500.0,0.0,0.0
Green Mountain College,VT,Private NonProfit,25200.0,15300.0,34900.0,37000.0,49.14,53.790000000000006
Virginia State University,VA,Public,29000.0,17100.0,38400.0,27800.0,43.99,73.86
The Art Institute of Seattle,WA,Private ForProfit,31900.0,22500.0,40200.0,32200.0,27.34,52.67
Heritage University,WA,Private NonProfit,31600.0,19800.0,36800.0,23400.0,16.830000000000002,70.59
Old Dominion University,VA,Public,38300.0,26700.0,48700.0,30200.0,50.91,77.66
Shepherd University,WV,Public,34400.0,24400.0,43000.0,28400.0,46.25,59.9
University of Charleston,WV,Private NonProfit,39100.0,31000.0,46800.0,30600.0,39.7,65.82000000000001
Davis & Elkins College,WV,Private NonProfit,30100.0,21200.0,40200.0,29400.0,43.87,66.27
Glenville State College,WV,Public,27900.0,20900.0,38400.0,29600.0,34.82,69.89999999999999
University of Puget Sound,WA,Private NonProfit,40200.0,24300.0,59100.0,47700.0,79.84,85.74000000000002
South University-Columbia,SC,Private ForProfit,32500.0,27000.0,40200.0,31500.0,9.57,42.11
Nossi College of Art,TN,Private ForProfit,24400.0,17000.0,29700.0,21800.0,56.31,68.63
Brigham Young University-Provo,UT,Private NonProfit,46600.0,37400.0,71500.0,65400.0,83.07,89.72
Texas A & M University-Kingsville,TX,Public,39500.0,27000.0,49300.0,38500.0,29.14,71.41999999999999
Southwestern Assemblies of God University,TX,Private NonProfit,30400.0,20800.0,38700.0,28600.0,41.06,75.5
The University of Texas at Austin,TX,Public,52200.0,41700.0,73900.0,65100.0,81.22,95.14
The University of Texas at Tyler,TX,Public,42900.0,26500.0,50500.0,34600.0,38.93,58.15
Texas Tech University,TX,Public,46800.0,30500.0,61600.0,52200.0,60.03,83.62
East Tennessee State University,TN,Public,32700.0,24700.0,40600.0,31800.0,39.72,71.28999999999998
Freed-Hardeman University,TN,Private NonProfit,31500.0,19300.0,41100.0,28900.0,57.3,78.42
Hollins University,VA,Private NonProfit,27600.0,16200.0,37900.0,27700.0,52.96999999999999,68.88
University of Phoenix-California,CA,Private ForProfit,34200.0,29400.0,54900.0,43400.0,17.740000000000006,60.66
University of Phoenix-Georgia,GA,Private ForProfit,34200.0,29400.0,54900.0,43400.0,14.27,100.0
DeVry University-Ohio,OH,Private ForProfit,37600.0,28600.0,50300.0,37800.0,28.74,55.56
DeVry University-Illinois,IL,Private ForProfit,37600.0,28600.0,50300.0,37800.0,23.87,58.62000000000001
Arizona State University-Skysong,AZ,Public,42200.0,29100.0,55500.0,44200.0,20.0,68.04
DeVry University-Nevada,NV,Private ForProfit,37600.0,28600.0,50300.0,37800.0,20.83,100.0
DeVry University-Tennessee,TN,Private ForProfit,37600.0,28600.0,50300.0,37800.0,25.0,50.0
DeVry University-California,CA,Private ForProfit,37600.0,28600.0,50300.0,37800.0,30.64,46.85
Herzing University-Brookfield,WI,Private ForProfit,30100.0,20500.0,41600.0,27900.0,18.18,60.0
Strayer University-Global Region,DC,Private ForProfit,38400.0,29300.0,53500.0,39800.0,0.0,31.58
Polytechnic University of Puerto Rico-Miami,FL,Private NonProfit,26600.0,20600.0,36300.0,27500.0,25.0,100.0
Strayer University-Alabama,AL,Private ForProfit,38400.0,29300.0,53500.0,39800.0,0.0,0.0
Strayer University-South Carolina,SC,Private ForProfit,38400.0,29300.0,53500.0,39800.0,14.29,50.0
Chamberlain University-Missouri,MO,Private ForProfit,69800.0,34800.0,60400.0,33500.0,33.33,75.0
South University-Novi,MI,Private ForProfit,32500.0,27000.0,40200.0,31500.0,28.57,50.0
South University-Savannah Online,GA,Private ForProfit,32500.0,27000.0,40200.0,31500.0,2.16,17.93
Argosy University-San Diego,CA,Private ForProfit,34100.0,26000.0,45700.0,34300.0,9.09,80.0
Argosy University-The Art Institute of California-Sacramento,CA,Private ForProfit,34100.0,26000.0,45700.0,34300.0,36.49,57.78
California State University-Channel Islands,CA,Public,38100.0,24800.0,51900.0,32800.0,57.75,81.17
Strayer University-Pennsylvania,PA,Private ForProfit,38400.0,29300.0,53500.0,39800.0,0.0,33.33
West Coast University-Los Angeles,CA,Private ForProfit,71900.0,35500.0,67700.0,42100.0,61.53999999999999,83.33
Converse College,SC,Private NonProfit,26900.0,14300.0,34800.0,21800.0,55.36,70.28
Coker College,SC,Private NonProfit,29300.0,18900.0,37100.0,27200.0,48.13,60.18
Newberry College,SC,Private NonProfit,32900.0,31300.0,37600.0,21100.0,44.1,65.53999999999999
South Dakota School of Mines and Technology,SD,Public,56400.0,33000.0,62400.0,46600.0,47.79,78.38000000000002
Le Moyne-Owen College,TN,Private NonProfit,23800.0,16200.0,30200.0,19800.0,13.98,50.27
Lincoln Memorial University,TN,Private NonProfit,34300.0,22300.0,41600.0,27500.0,63.92,69.92
Rhodes College,TN,Private NonProfit,40800.0,30800.0,64800.0,54100.0,79.2,92.53
Angelo State University,TX,Public,36100.0,23400.0,46300.0,35300.0,35.73000000000001,67.29
Arlington Baptist University,TX,Private NonProfit,26500.0,15800.0,38000.0,34600.0,20.0,39.39
Southern Adventist University,TN,Private NonProfit,35400.0,21200.0,46300.0,41600.0,60.85,79.91
Tennessee Wesleyan University,TN,Private NonProfit,34300.0,20000.0,43700.0,29400.0,45.87,66.97999999999999
Concordia University Texas,TX,Private NonProfit,41200.0,25900.0,51300.0,35000.0,35.32,63.39
Tennessee Technological University,TN,Public,35400.0,23000.0,46700.0,32300.0,51.11,79.01
Union University,TN,Private NonProfit,40900.0,29300.0,49600.0,34900.0,68.44,84.91
Sul Ross State University,TX,Public,34600.0,22500.0,41400.0,29300.0,16.150000000000002,60.06
The University of Texas at Dallas,TX,Public,47800.0,31500.0,61400.0,47200.0,67.46,87.39
Trinity University,TX,Private NonProfit,48900.0,34900.0,68000.0,62800.0,77.34,88.87
Regent University,VA,Private NonProfit,34800.0,27300.0,45600.0,32500.0,30.49,78.28
College of St Joseph,VT,Private NonProfit,29100.0,16800.0,39700.0,25300.0,31.37,76.47
Bridgewater College,VA,Private NonProfit,34900.0,19300.0,46600.0,26300.0,66.12,78.14999999999998
College of William and Mary,VA,Public,47400.0,32200.0,74500.0,68800.0,91.48,95.38
Cornish College of the Arts,WA,Private NonProfit,28000.0,20100.0,33600.0,26600.0,48.33,73.74000000000002
Virginia Union University,VA,Private NonProfit,23800.0,14200.0,34200.0,20200.0,32.83,66.23
The University of Virginia's College at Wise,VA,Public,30000.0,17400.0,43800.0,29200.0,43.61,62.53999999999999
Central Washington University,WA,Public,38900.0,22700.0,50100.0,32300.0,52.49,76.17
Virginia Polytechnic Institute and State University,VA,Public,50400.0,29900.0,67100.0,43700.0,83.77,93.4
Radford University,VA,Public,37700.0,20200.0,48000.0,30900.0,58.33000000000001,74.32
Randolph College,VA,Private NonProfit,33700.0,24900.0,41500.0,30400.0,60.12,71.74000000000002
University of Richmond,VA,Private NonProfit,51900.0,37500.0,78900.0,62300.0,88.24,93.3
Seattle Pacific University,WA,Private NonProfit,40900.0,34600.0,54200.0,38600.0,70.94,81.75
Bethany College,WV,Private NonProfit,32600.0,19500.0,44200.0,25200.0,41.11,68.35
Fairmont State University,WV,Public,30500.0,22500.0,38400.0,30000.0,28.46,68.85
University of Advancing Technology,AZ,Private ForProfit,40500.0,30600.0,57700.0,43800.0,21.15,51.85
California State University-San Marcos,CA,Public,40500.0,25500.0,51100.0,34600.0,52.46,80.73
University of Washington-Tacoma Campus,WA,Public,50300.0,37900.0,69600.0,58300.0,60.1,76.34
University of Phoenix-New Mexico,NM,Private ForProfit,34200.0,29400.0,54900.0,43400.0,19.15,42.86
Arizona State University-Polytechnic,AZ,Public,42200.0,29100.0,55500.0,44200.0,61.27,84.87
Argosy University-Phoenix,AZ,Private ForProfit,34100.0,26000.0,45700.0,34300.0,0.0,33.33
University of Connecticut-Avery Point,CT,Public,49800.0,40400.0,66000.0,49200.0,57.14,83.59
Uta Mesivta of Kiryas Joel,NY,Private NonProfit,23600.0,26100.0,32600.0,32100.0,70.45,94.92
Argosy University-Denver,CO,Private ForProfit,34100.0,26000.0,45700.0,34300.0,28.57,0.0
CollegeAmerica-Fort Collins,CO,Private NonProfit,21200.0,16800.0,29100.0,22000.0,28.99,47.06
Chamberlain University-Illinois,IL,Private ForProfit,69800.0,34800.0,60400.0,33500.0,44.44000000000001,86.67
The Art Institute of Raleigh-Durham,NC,Private ForProfit,32500.0,27000.0,40200.0,31500.0,21.23,61.97000000000001
American InterContinental University,IL,Private ForProfit,33200.0,28100.0,45200.0,39600.0,25.99,31.53
University of Phoenix-Illinois,IL,Private ForProfit,34200.0,29400.0,54900.0,43400.0,8.16,20.0
The Art Institute of Washington,VA,Private ForProfit,27100.0,21400.0,36000.0,27500.0,19.87,63.08000000000001
Southern Virginia University,VA,Private NonProfit,29900.0,27400.0,39100.0,34100.0,32.74,67.83
Trinity College of Nursing & Health Sciences,IL,Private NonProfit,42600.0,21300.0,50600.0,30200.0,100.0,100.0
Western Governors University,UT,Private NonProfit,48100.0,39600.0,48100.0,36100.0,26.32,74.5
Alcorn State University,MS,Public,26900.0,19300.0,35000.0,23200.0,30.78,72.07000000000002
Cleveland University-Kansas City,KS,Private NonProfit,41700.0,35800.0,53600.0,46700.0,20.0,100.0
Hannibal-LaGrange University,MO,Private NonProfit,31600.0,20100.0,38200.0,26600.0,51.16,53.59
Rust College,MS,Private NonProfit,20900.0,15600.0,26600.0,17800.0,32.65,61.98
University of Southern Mississippi,MS,Public,33500.0,27300.0,42700.0,38700.0,44.72,74.31
Stephens College,MO,Private NonProfit,33600.0,21100.0,41000.0,35900.0,48.07,68.42
William Jewell College,MO,Private NonProfit,43600.0,30400.0,51300.0,31800.0,63.43,78.36999999999998
University of Providence,MT,Private NonProfit,30500.0,18800.0,38600.0,32800.0,30.94,58.9
Union College,NE,Private NonProfit,36200.0,21400.0,47700.0,38100.0,43.11,81.05
Montana State University-Northern,MT,Public,37100.0,24800.0,40400.0,27700.0,26.11,59.26000000000001
Institute of American Indian and Alaska Native Culture and Arts Development,NM,Public,17800.0,13200.0,18000.0,13800.0,20.0,50.0
Berkeley College-New York,NY,Private ForProfit,33700.0,24300.0,44600.0,31900.0,29.39,57.77
University of the Southwest,NM,Private NonProfit,34500.0,18800.0,41000.0,33400.0,16.36,52.27
CUNY Bernard M Baruch College,NY,Public,47500.0,30600.0,63600.0,48100.0,66.45,90.87
College of Staten Island CUNY,NY,Public,33900.0,25800.0,47500.0,35000.0,30.58,80.39
Concordia College-New York,NY,Private NonProfit,41300.0,30200.0,53100.0,35600.0,53.62000000000001,77.53999999999998
Daemen College,NY,Private NonProfit,46400.0,30100.0,48200.0,31000.0,55.33,79.17
Hamilton College,NY,Private NonProfit,55300.0,41000.0,74300.0,62800.0,91.65,93.66
United Talmudical Seminary,NY,Private NonProfit,16100.0,15800.0,26100.0,39300.0,55.28,88.22
Art Academy of Cincinnati,OH,Private NonProfit,25700.0,26200.0,30100.0,25000.0,52.0,55.17
Ashland University,OH,Private NonProfit,36000.0,20100.0,42900.0,30900.0,62.5,79.56
Wingate University,NC,Private NonProfit,36000.0,24800.0,55700.0,40700.0,53.72,76.66
Bluffton University,OH,Private NonProfit,35500.0,19200.0,41700.0,26400.0,49.32,66.82000000000001
Bowling Green State University-Main Campus,OH,Public,33500.0,19900.0,45300.0,34300.0,54.73,75.94999999999997
Trinity Bible College and Graduate School,ND,Private NonProfit,26900.0,16900.0,31700.0,23700.0,35.59,67.65
Miami University-Oxford,OH,Public,40800.0,28100.0,55400.0,46100.0,78.43,91.75
Cleveland State University,OH,Public,37200.0,24300.0,46400.0,34700.0,40.85,70.91
Kettering College,OH,Private NonProfit,47500.0,26800.0,60200.0,61300.0,38.82,61.82
Muskingum University,OH,Private NonProfit,34400.0,19300.0,43500.0,27700.0,53.88,66.3
